Use,Species,species.alt,Species.no.ssp,code,new.code,accept.code,family,group,nat.inv,Heteromorphic,Heteromorphic.ref,Heteromorphic.Notes,Fruit Type,germinule.equal.dispersule.,germ.disp.notes,germ.disp.ref,dormancy.type,dorm.notes
y,Cryptantha costata,,Cryptantha costata,CRYCOS,CRYCOS,CRCO15,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets (3)4, 1.2--1.8(2) mm (1 +- > others), triangular or oblong-ovate, brown, shiny, margin occasionally sharp-angled or generally +- flat narrow rim, base wide-truncate; abaxially strongly convex, dome-like, minute-rippled, sparse-grainy to obscurely tubercled, ridge 0; adaxially smooth, flat to +- concave, attachment scar edges not raised, abutted near tip, gapped below, triangular-flare-gapped at base; axis beyond nutlets.",nutlet,y,,,PD,genus
n,Cryptantha hispidula,,Cryptantha hispidula,CRYHIS,CRYHIS,CRHI,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlet 1(2), 1.7--2.2 mm, lanceolate to ovate, generally mottled gray-brown, smooth, shiny, margin +- rounded, basally swollen, base +- truncate, tip +- abruptly long-beaked; abaxially rounded, ridge 0; adaxially low-rounded to biconvex, attachment scar edges +- abutted or occasionally +- gapped, short-forked-gapped at base; axis not to nutlet tip(s).",nutlet,y,,,PD,genus
y,Cryptantha intermedia,,Cryptantha intermedia,CRYINT,CRYINT,CRIN8,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets 1--4, fine-grainy to low-tubercled (smooth), +- rough, generally dull, abaxially +- rounded, ridge 0.",nutlet,y,,,PD,genus
y,Cryptantha micrantha,,Cryptantha micrantha,CRYMIC,CRYMIC,CRMI,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets (3)4, 1--1.3 mm, +- lanceolate, white-grainy to tubercled or smooth, +- shiny, margin rounded, base rounded; abaxially rounded, ridge 0; adaxially +- flat, attachment scar edges narrow-gapped entire length, +- flared at base; axis beyond nutlets.",nutlet,y,,,PD,genus
y,Cryptantha muricata,,Cryptantha muricata,CRYMUR,CRYMUR,CRMU2,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets (2)3--4, occasionally mottled, base truncate; abaxially generally low-biconvex (low-rounded), ridge rounded (obscure); adaxially +- biconvex (+- flat), attachment scar edges not raised.",nutlet,y,,,PD,genus
y,Cryptantha nevadensis var. rigida,,Cryptantha nevadensis var. rigida,CRYNEVR,CRYNEV,CRNER,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: (1.6)1.7--2.1(2.5) mm, lance-ovate, dense-sharp-papillate, dull to shiny, base rounded.",nutlet,y,,,PD,genus
y,Cryptantha pterocarya,,Cryptantha pterocarya,CRYPTE,CRYPTE,CRPT,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: nutlets (3)4, 2--2.5 mm, lanceolate to lance-oblong, gray, +- brown, or mottled gray and brown, generally papillate to white-tubercled, dull to shiny, base truncate, tip +- elongate; abaxially low-rounded, spine 0; adaxially biconvex, occasionally smooth, attachment scar edges not raised, abutted toward tip, +- gapped lower 1/2 or abutted entire length, +- triangular-gapped at base; axis generally to nutlet tips.",nutlet,y,,,PD,genus
y,Emmenanthe penduliflora,,Emmenanthe penduliflora,EMMPEN,EMMPEN,EMPE,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: capsule, 7--10 mm, 2--4 mm wide, glandular. Seed: 6--15, flat, wide-elliptic, brown; surface honeycombed. ",capsule,y,,,PD,
y,Emmenanthe penduliflora var. penduliflora,,Emmenanthe penduliflora,EMMPENP,EMMPEN,EMPEP,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: capsule, 7--10 mm, 2--4 mm wide, glandular. Seed: 6--15, flat, wide-elliptic, brown; surface honeycombed.",capsule,y,,,PD,
y,Eucrypta chrysanthemifolia,,Eucrypta chrysanthemifolia,EUCCHR,EUCCHR,EUCH,Boraginaceae,forb,native,y,Jepson eflora,"Seed: 6--8, dark brown, of 2 kinds, elliptic or round, disk-like, smooth and oblong-ovoid, wrinkled.",capsule,y,,,,
y,Nemophila menziesii,,Nemophila menziesii,NEMMEN,NEMMEN,NEME,Boraginaceae,forb,native,n,Jepson eflora,"Seed: 4--20, brown to black, wrinkled, tubercled.",capsule,y,,,PD,
y,Pectocarya heterocarpa,,Pectocarya heterocarpa,PECHET,PECHET,PEHE,Boraginaceae,forb,native,y,Jepson eflora,"3 seed types: basal, winged, long; Fruit: nutlets 1.2--3 mm, oblanceolate to oblong; cauline paired, curved in 2 planes, 1 pair incurved, the other pair recurved, margins +- entire, narrow- to wide-membranous, to dentate. ",nutlet,y,,,PD,
y,Pectocarya penicillata,,Pectocarya penicillata,PECPEN,PECPEN,PEPE26,Boraginaceae,forb,native,n,SEINet & Jepson eflora,"Fruits: Nutlets all alike, oblong, divaricate, straight or very slightly inflexed at tip, .5-.8 mm broad, 1.6-2.5 mm long, cartilaginous margin upturned to incurved along length of body, unarmed on this portion, nearly entire, or undulate, rounded distal end bear Fruit: nutlets 1.6--2.4 mm, oblanceolate, straight, +- equal in width, bristled at tip to above +- middle; margins wavy, erect to incurved, not or +- dentate. ",nutlet,y,"nutlets are technically a dried hard ovary wall over the seed, i dont think this is separatable? ",,PD,genus
y,Pectocarya recurvata,,Pectocarya recurvata,PECREC,PECREC,PERE,Boraginaceae,forb,native,n,SEINet & Jepson eflora,"Fruits: Nutlets 4, together forming a cross-shape; each nutlet 2.5-4 mm long, linear, coiled to recurved, with a toothed margin inconspicuously differing in texture from the rest of the nutlet; margin teeth free to the base, narrow, the teeth clearly longer than.   Fruit: nutlets 2.5--4 mm, linear, coiled to recurved; margin teeth free +- to base, linear (or width at base < length).",nutlet,y,,,PD,
y,Phacelia brachyloba,,Phacelia brachyloba,PHABRA,PHABRA,PHBR,Boraginaceae,forb,native,n,Jepson eflora,"Fruit: 4--5 mm, ovoid, compressed, short-beaked, sparsely puberulent proximally, short-hairy distally. Seed: 10--25, 0.5--1 mm; cross-furrows 5--7. ",capsule,y,,,PD,genus
y,Phacelia calthifolia,,Phacelia calthifolia,PHACAL,PHACAL,PHCA2,Boraginaceae,forb,native,n,Jepson eflora,"Seed: 30--50, 1--1.5 mm; cross-furrows generally 5--8, shallow.",capsule,y,,,PD,genus
y,Phacelia cicutaria,,Phacelia cicutaria,PHACIC,PHACIC,PHCI,Boraginaceae,forb,native,n,Jepson eflora,"Seed: 2--4, 1.5--3 mm, pitted.",capsule,y,,,PD,genus
y,Phacelia cicutaria var. hispida,,Phacelia cicutaria,PHACICH,PHACIC,PHCIH2,Boraginaceae,forb,native,n,,assuming no bc above is no ,capsule,y,,,PD,genus
y,Phacelia crenulata,,Phacelia crenulata,PHACRE,PHACRE,PHCR,Boraginaceae,forb,native,n,Jepson eflora & SEINet,"Seed: generally 4, 2--3.5 mm; abaxial surface finely pitted; adaxial surface with central ridge separating 2 longitudinal grooves, ridge corrugated along 1 side. Fruits: Globose capsules, 3-4 mm long; containing 4 seeds, elliptic to oblong, 3-4 mm long, brown and pitted.",capsule,y,,,PD,genus
y,Phacelia davidsonii,,Phacelia davidsonii,PHADAV,PHADAV,PHDA3,Boraginaceae,forb,native,n,Jepson eflora ,"Seed: 7--15, 1--2 mm, pitted.",capsule,y,,,PD,genus
y,Phacelia distans,,Phacelia distans,PHADIS,PHADIS,PHDI,Boraginaceae,forb,native,n,Jepson eflora & SEINet,"Seed: 1--2(4), 2--3.1 mm, pitted. Fruits: Seeds 4 or fewer around 2 mm, red-brown, narrowly ovoid, pitted, the back convex, the ventral side angled and convex.",capsule,y,,,PD,genus
y,Phacelia fremontii,,Phacelia fremontii,PHAFRE,PHAFRE,PHFR2,Boraginaceae,forb,native,n,Jepson eflora ,"Seed: 10--18, 1--1.5 mm; cross-furrows 6--9.",capsule,y,,,PD,genus
y,Phacelia grandiflora,,Phacelia grandiflora,PHAGRA,PHAGRA,PHGR,Boraginaceae,forb,native,n,Jepson eflora ," Seed: (50)80--120(200), 0.75--1.5 mm, shallowly pitted.",capsule,y,,,PD,genus
y,Phacelia parryi,,Phacelia parryi,PHAPAR,PHAPAR,PHPA3,Boraginaceae,forb,native,n,SEINet,"Seeds 40-60, ± 1 mm, pitted, oblong to spheric, generally brownish ",capsule,y,,,PD,genus
y,Phacelia viscida,,Phacelia viscida,PHAVIS,PHAVIS,PHVI,Boraginaceae,forb,native,n,Jepson eflora ,"Seed: 40--200, <= 1 mm, shallowly pitted. ",capsule,y,,,PD,genus
y,Pholistoma auritum,,Pholistoma auritum,PHOAUR,PHOAUR,PHAU4,Boraginaceae,forb,native,n,Jepson eflora & SEINet,"*genus says:  Seed: 1--8, spheric, brown, pitted or honeycombed. species: Seed: 1--4. Fruits: Capsule 4-5 mm in diameter, hispid with subulate white hairs.",capsule,y,,,,
y,Plagiobothrys arizonicus,,Plagiobothrys arizonicus,PLAARI,PLAARI,PLAR,Boraginaceae,forb,native,n,Jepson eflora ," Fruit: nutlets generally 2, +- 2 mm, wide-ovate, arched, strongly attached; abaxial ridge, lateral ridges, cross-ribs narrow, interspaces wide; scar near middle, round. ",nutlet,y,,,,
y,Plagiobothrys nothofulvus,,Plagiobothrys nothofulvus,PLANOT,PLANOT,PLNO,Boraginaceae,forb,native,n,Jepson eflora ,"Fruit: nutlets generally 3, +- 2 mm, round-ovate, abruptly narrowed below acute tip, +- arched; abaxial ridge, lateral ridges, cross-ribs narrow; interspaces wide; scar near middle, round.",nutlet,y,,,,
y,Athysanus pusillus,,Athysanus pusillus,ATHPUS,ATHPUS,ATPU,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: 2--2.5 mm wide, +- round, smaller hairs branched; style to 0.2 mm; pedicel (1.5)2--4(6) mm. Seed: to 1.2 mm. ",silicle (indehiscent),n,indehiscent fruit,,,
y,Brassica nigra,,Brassica nigra,BRANIG,BRANIG,BRNI,Brassicaceae,forb,invasive,n,SEINet,"Fruits erect-ascending (± appressed to rachis), smooth, ± 4-angled, 1-2.5(-2.7) cm × (1.5-) 2-3(-4) mm; valvular segment 2-5(-8)-seeded per locule, (0.4-)0.8-2(-2.5) cm, terminal segment seedless (linear, narrow), (1-)2-5(-6) mm. Seeds brown to black, 1.2-1.5(-2) mm diam.; seed coat coarsely reticulate, minutely alveolate, not mucilaginous when wetted. ",silique,y,dehiscent fruit,,PD,genus
y,Brassica tournefortii,,Brassica tournefortii,BRATOU,BRATOU,BRTO,Brassicaceae,forb,invasive,n,Jepson eflora,"Fruit: spreading to ascending, 3--7 cm, 2--4(5) mm wide, cylindric, narrowed between seeds; terminal segment 10--20 mm, 1(3)-seeded; pedicel spreading, 8--15 mm. Seed: 1--1.2 mm wide, spheric.",silique,y,dehiscent fruit,,PD,
y,Capsella bursa-pastoris,,Capsella bursa-pastoris,CAPBUR,CAPBUR,CABU2,Brassicaceae,forb,invasive,n,SEINet,"Fruits (0.3-)0.4-0.9(-1) cm × (2-)3-7(-9) mm, base cuneate, apex emarginate or truncate; valves each with subparallel lateral veins; style 0.2-0.7 mm. Seeds brown, 0.9-1.1 × 0.4-0.6 mm.",silicle (dehiscent),n,indehiscent fruit,,PD,
y,Caulanthus anceps,,Caulanthus anceps,CAUANC,CAUANC,CAAN25,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: ascending to reflexed, 3--6.7 cm, 1.2--2 mm, straight; style 1--4 mm, stigma +- entire; pedicel reflexed or ascending, 3--10 mm. Seed: 40--54, 1.4--1.8 mm, oblong to ovoid.",silique,y,dehiscent fruit,,,
y,Caulanthus heterophyllus,,Caulanthus heterophyllus,CAUHET,CAUHET,CAHE11,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: reflexed, 4.5--10 cm, 1--1.5 mm wide, flat parallel to septum or 4-sided; style 0.5--3.5 mm, stigma +- 2-lobed; pedicel reflexed, 2--8 mm. Seed: 56--82, 1.2--2 mm, oblong; cotyledons entire.",silique,y,dehiscent fruit,,,
y,Caulanthus lasiophyllus,,Caulanthus lasiophyllus,CAULAS,CAULAS,GULA4,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: erect to reflexed, 2--4.8(5.7) cm, 0.7--1.2 mm wide, straight to outcurved; style 0.5--2 mm, stigma +- entire; pedicel strongly reflexed to spreading, (0.7)1--2.2(3) mm. Seed: 14--60, 0.9--1.5 mm, oblong. ",silique,y,dehiscent fruit,,,
y,Descurainia pinnata,,Descurainia pinnata,DESPIN,DESPIN,,Brassicaceae,forb,native,n,Jepson eflora,"Seed: 16--40, 0.6--0.9 mm, in 2 rows per chamber, oblong.",silicle (dehiscent),,,,PD,genus
y,Draba cuneifolia,,Draba cuneifolia,DRACUN,DRACUN,DRCU,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: (3)6--12(16) mm, 1.7--2.7(3) mm wide, oblong to linear or broadly ovate, flat, not twisted, hairs simple or 2--4-rayed (glabrous); style to 0.4 mm. Seed: (12)24--66(72), 0.5--0.7 mm, ovoid.",silicle (dehiscent),y,dehiscent fruit,,PD,genus
y,Erysimum repandum,,Erysimum repandum,ERYREP,ERYREP,ERRE4,Brassicaceae,forb,invasive,n,Jepson eflora,"Fruit: (2)3--8(10) cm, 1.5--2 mm wide, 4-angled, +- constricted between seeds; valves outside with 2(3)-rayed hairs, inside glabrous or occasionally sparsely hairy, midvein distinct; style 1--4 mm; pedicel spreading, 2--4(6) mm, +- as wide as fruit. Seed: (40)50--80(90), 1--1.5 mm, oblong; wing 0 (tip winged).",silique,y,dehiscent fruit,,PD/ND,genus
y,Lepidium dictyotum,,Lepidium dictyotum,LEPDIC,LEPDIC,,Brassicaceae,forb,native,n,Jepson eflora,"Seed: 1.2--1.8 mm, ovate.",,,,,PD,genus
y,Lepidium lasiocarpum,,Lepidium lasiocarpum,LEPLAS,LEPLAS,LELA,Brassicaceae,forb,native,n,Jepson eflora,"Fruits: Capsules round to ovate, flat, 2-3 mm across, with notch at the tip; persistent style absent or present but inconspicuous, 0.1 mm long, much smaller than the notch where it sits; seeds brown, ovate, 2 mm long",silicle (indehiscent),y,dehiscent fruit,,PD,
y,Lepidium nitidum,,Lepidium nitidum,LEPNIT,LEPNIT,LENI,Brassicaceae,forb,native,n,Jepson eflora,"Fruit: (2.5)3--5.5(6.5) mm, (2)2.6--5(5.4) mm wide, round to broadly ovate, flat, tip winged, notch 0.3--0.7(1) mm; valves glabrous or margin sparsely puberulent, not or obscurely veined; style 0--0.1 mm, included in notch; pedicel spreading (+- erect), 2.5--5(6.5) mm, strongly flattened, puberulent or only adaxially. Seed: 1.6--2.6 mm, ovate.",silicle (dehiscent),n,,,PD,genus
y,Lesquerella gordonii,Physaria gordonii,Lesquerella gordonii,LESGOR,LESGOR,LEGO,Brassicaceae,forb,native,n,SEINet ,Seeds flattened.,silicle (dehiscent),y,dehiscent fruit,,PD,
y,Matthiola parviflora,,Matthiola parviflora,MATPAR,MATPAR,,Brassicaceae,forb,invasive,n,SEINet ,"*info about genus: Seeds flattened, narrowly winged or not winged, oblong, ovate, suborbicular, or orbicular; seed coat (minutely reticulate), not mucilaginous when wetted; cotyledons accumbent. x = 7.",silique,y,,,PD,genus
y,Sisymbrium altissimum,,Sisymbrium altissimum,SISALT,SISALT,SIAL2,Brassicaceae,forb,invasive,n,Jepson eflora ,"Seed: 90--120, 0.8--1 mm, oblong.",silique,y,dehiscent fruit,,PD,
y,Sisymbrium irio,,Sisymbrium irio,SISIRI,SISIRI,SIIR,Brassicaceae,forb,invasive,n,Jepson eflora ,"Seed: 40--90, 0.8--1 mm, oblong.",silique,y,dehiscent fruit,,PD,genus
y,Sisymbrium orientale,,Sisymbrium orientale,SISORI,SISORI,SIOR4,Brassicaceae,forb,invasive,n,Jepson eflora ,"Seed: (60)80--100(140), 1--1.5 mm, oblong. ",silique,y,dehiscent fruit,,PD,
y,Streptanthella longirostris,,Streptanthella longirostris,STRLON,STRLON,STLO4,Brassicaceae,forb,native,n,Jepson eflora &SEINet," Seed: (12)16--28(34), in 1 row, 2--3 mm, flat; wing 0.3--0.7 mm wide. Seeds light brown, 2-3 × 1-1.7(-2) mm; wing 0.3-0.7 mm wide. ",silique,y,dehiscent,,,
y,Streptanthus insignis,,Streptanthus insignis,STRINS,STRINS,STIN,Brassicaceae,forb,native,n,SEINet,"Seeds broadly oblong, 1.4-2 × 1-1.3 mm; wing 0.15-0.3 mm wide, continuous.",silique,y,dehiscent fruit,,PD,genus
y,Streptanthus polygaloides,,Streptanthus polygaloides,STRPOL,STRPOL,STPO2,Brassicaceae,forb,native,n,Jepson eflora ,"Seed: (10)18--50, 1.7--2 mm, oblong; wing 0.2--0.3 mm wide at tip.",silique,y,dehiscent fruit,,PD,genus
y,Thysanocarpus curvipes,,Thysanocarpus curvipes,THYCUR,THYCUR,THCU,Brassicaceae,forb,native,n,Jepson eflora ," Genus:  Seed: 1, elliptic to round, wingless. Genus and spp: Fruit: 3--6(9) mm wide, obovate to +- round, hairs 0 or 0.2--0.4 mm, club-shaped; wing flat or +- incurved toward over-seed convex side, entire, crenate, with spoon-shaped lobes, or perforated, rays 0.2--0.5 mm wide (0); proximal pedicels recurved in a continuous arc, 3--7(12) mm.",silicle (indehiscent),n,,,,
y,Tropidocarpum gracile,,Tropidocarpum gracile,TROGRA,TROGRA,,Brassicaceae,forb,native,n,Jepson eflora,"Seed: 30--70, 1.2--1.6 mm, oblong. ",silicle (dehiscent),,,,,
y,Nemacladus longiflorus var. breviflorus,Nemacladus breviflorus,Nemacladus longiflorus var. breviflorus,NEMLONB,NEMLON,NELOB,Campanulaceae,forb,native,n,Jepson eflora,"Seed: < 0.5 mm, +- round.",capsule,,,,,
y,Achyronychia cooperi,,Achyronychia cooperi,ACHCOO,ACHCOO,ACCO3,Caryophyllaceae,forb,native,n,Jepson eflora,"Seed: 1, +- 1 mm, ovoid, +- compressed, tan, red dot near narrow end.",utricle (dehiscent),y,fruit is dehiscent,Jepson eflora,,
y,Herniaria hirsuta,,Herniaria hirsuta,HERHIR,HERHIR,,Caryophyllaceae,forb,invasive,n,Jepson eflora,"Fruit: minutely papillate. Seed: +- compressed, smooth; margin with prominent rim.",capsule,,,,,
y,Minuartia douglasii,,Minuartia douglasii,MINDOU,MINDOU,MIDO3,Caryophyllaceae,forb,native,n,Jepson eflora,"Seed: 1.3--2 mm; margin thin, wing-like, red-brown.",capsule,y,,,,
y,Silene gallica,,Silene gallica,SILGAL,SILGAL,SIGA,Caryophyllaceae,forb,invasive,n,Jepson eflora ,"Seed: +- 1 mm, red-brown. ",capsule,,,,PD/ND,genus
y,Spergularia platensis,,Spergularia platensis,SPEPLA,SPEPLA,SPPL2,Caryophyllaceae,forb,invasive,n,Jepson eflora ,"Seed: 0.3--0.4 mm, light to dark or red-brown, wing 0; sculpture worm-like, papillae minute, cup-shaped.",capsule,,,,PD/ND,genus
n,Velezia rigida,,Velezia rigida,VELRIG,VELRIG,VERI,Caryophyllaceae,forb,invasive,n,Jepson eflora ,"Seed: in 1 row, 1.3--1.8 mm, ovate-oblong, with abrupt, rounded point; papillae fine, low",capsule,,,,,
y,Atriplex elegans var. fasciculata,,Atriplex elegans var. fasciculata,ATRELEF,ATRELE,ATELF,Chenopodiaceae,forb,native,n,SEINet,"Fruiting bracteoles sessile, samaralike, orbiculate, compressed, 3-4 mm, united to beyond middle, margin rather minutely and acutely toothed, teeth mainly 0.3- 0.5 mm. Seeds 1.5 mm.",utricle (indehiscent),,,,PD,genus
y,Chenopodium album,,Chenopodium album,CHEALB,CHEALB,CHAL7,Chenopodiaceae,forb,native,n,Jepson eflora,"Fruit: 1--1.5 mm diam; wall generally free, or free in age, generally papillate (smooth). Seed: horizontal, +- spheric or oval-lenticular, margin rounded; seed coat generally grooved, netted, occasionally smooth. ",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,
y,Chenopodium arizonicum,Chenopodium neomexicanum,Chenopodium neomexicanum,CHEARI,CHEARI,CHNEN,Chenopodiaceae,forb,native,n,http://www.sci.sdsu.edu/plants/chenopodium/C_arizonicum/,"seed horizontal, 1 mm. broad, black and shining, puncticulate, the margin obtuse.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium berlandieri,,Chenopodium berlandieri,CHEBER,CHEBER,CHBE4,Chenopodiaceae,forb,native,n,Jepson eflora,"Fruit: 1--1.5 mm diam; wall attached to seed, brown, honeycomb-pitted at 20×. Seed: horizontal; seed coat black, honeycomb-pitted.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium berlandieri var. sinuatum,,Chenopodium berlandieri,CHEBERS,CHEBER,CHBES,Chenopodiaceae,forb,native,n,Jepson eflora,Fruit: style base not yellow. Seed: 1--1.3 mm diam.,utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium berlandieri var. zschackei,,Chenopodium berlandieri,CHEBERZ,CHEBER,CHBEZ,Chenopodiaceae,forb,native,n,SEINet,"Fruit: one-seeded (achene or utricle), sometimes enclosed in the persistent, incurved sepals, light yellowish around style, depressed egg-shaped, thin-walled. Wall (pericarp) not closely fitting to the seed, honeycomb-like. Seed brown, 1 - 1.5 mm wide, round, round-margined, honeycomb-like.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium hians,,Chenopodium hians,CHEHIA,CHEHIA,CHHI,Chenopodiaceae,forb,native,n,Jepson eflora,"Fruit: 1--1.5 mm diam; fruit wall glandular-roughened, attached to seed. Seed: horizontal, widely conic, flat adaxially, margin round.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium incanum var. elatum,,Chenopodium incanum,CHEINCE,CHEINC,CHINE,Chenopodiaceae,forb,native,n,efloras.org,Seeds (1-)1.1-1.25 mm diam.,utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium incanum var. occidentale,,Chenopodium incanum,CHEINCO,CHEINC,CHINO,Chenopodiaceae,forb,native,n,Jespon eflora," Fruit: 1--1.2 mm diam; wall free from seed. Seed: horizontal, black, margin obtuse in ×-section.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium murale,,Chenopodium murale,CHEMUR,CHEMUR,CHMU2,Chenopodiaceae,forb,invasive,n,Jepson eflora,"Fruit: 1--1.5 mm diam; wall attached to seed, scale-like. Seed: horizontal, 1--1.5 mm, not pitted, margin sharply angled.",utricle (indehiscent),n,,,PD,genus
y,Chenopodium neomexicanum,,Chenopodium neomexicanum,CHENEO,CHENEO,CHNE3,Chenopodiaceae,forb,native,n,SEINet,"Achenes ovoid; pericarp adherent, black, honeycombed. Seeds lenticular or round, 1-1.3 mm diam., margins acute; seed coat coarsely honeycombed.",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
y,Chenopodium watsonii,,Chenopodium watsonii,CHEWAT,CHEWAT,CHWA,Chenopodiaceae,forb,native,n,SEINet,"Fruit: 1--1.3 mm diam, wall attached to seed, +- white, deeply pitted. Seed: horizontal. ",utricle (indehiscent),y,perianth sometimes adherent to seed,,PD,genus
n,Dysphania ambrosioides,,Dysphania ambrosioides,DYSAMB,DYSAMB,DYAM,Chenopodiaceae,forb,invasive,n,Jepson eflora,"Fruit: +- 0.5 mm diam; wall free from seed, glandular. Seed: vertical and horizontal, ovoid, +- red-brown, smooth.",achene,y,,,,
y,Convolvulus equitans,,Convolvulus equitans,CONEQU,CONEQU,COEQ,Convolvulaceae,forb,native,n,SEINet,"Fruit: FRUITS capsular, 4-valved, mostly brown, chartaceous, globose, 7-8 mm wide, glabrous. SEEDS 1-4, 4-4.5 mm long, black, granulate, glabrous",capsule,y,capsules generally dehiscent,,PY,genus
y,Cucurbita palmata,Cucurbita californica,Cucurbita palmata,CUCPAL,CUCPAL,CUPA,Cucurbitaceae,forb,native,n,Jepson eflora,"Fruit: 8--9 cm wide, spheric, dull green, mottled, with obscure, +- white stripes. Seed: 10--14 mm, white.",berry,n,,,,
y,Euphorbia crenulata,,Euphorbia crenulata,EUPCRE,EUPCRE,EUCR2,Euphorbiaceae,forb,native,n,Jepson eflora,"Fruit: 3--3.5 mm, oblong, lobed. Seed: 2--2.5 mm, oblong-ellipsoid, +- round (in ×-section), surface net-like; knob present.",capsule,,,,PD/ND,genus
y,Acmispon americanus,Lotus purshianus,Acmispon americanus,ACMAME,ACMAME,LOUNU,Fabaceae,forb,native,n,Jepson eflora,Seed: 3--8.,legume (dehiscent),y,dehiscent fruit,,PY,
y,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,Acmispon maritimus var. brevivexillus,ACMMARB,ACMMAR,LOSAB,Fabaceae,forb,native,n,Jepson eflora,"Fruit: dehiscent, ascending, exserted, generally 1.5--3 cm, narrowly oblong, often curved, flat, occasionally with small horn-like processes; beak hooked, 0.5--1.5 mm. Seed: 5--9	",legume (dehiscent),y,dehiscent fruit,,PY,
y,Acmispon strigosus,Lotus strigosus,Acmispon strigosus,ACMSTR,ACMSTR,LOST4,Fabaceae,forb,native,n,Jepson eflora,"Fruit: dehiscent, erect or spreading, 1--3.5 cm, linear, generally curved near tip, generally flat, margin not wavy; beak curved, 0.5--1.5 mm. Seed: 5--10.",legume (dehiscent),y,dehiscent fruit,,PY,
y,Acmispon wrangelianus,Lotus wrangelianus,Acmispon wrangelianus,ACMWRA,ACMWRA,LOWR2,Fabaceae,forb,native,n,Jepson eflora,"Fruit: dehiscent, erect or spreading, exserted, 10--18 mm, generally 2.2--3 mm wide, oblong, straight, generally flat; beak curved, 0.5--1.5 mm. Seed: 3--7.",legume (dehiscent),y,dehiscent fruit,,PY,genus
y,Astragalus didymocarpus,,Astragalus didymocarpus,ASTDID,ASTDID,,Fabaceae,forb,native,n,Jepson eflora,"*genus only:  Seed: 2--many, smooth, compressed, +- notched at attachment scar.",legume (dehiscent),,,,PY,genus
y,Astragalus didymocarpus var. dispermus,,Astragalus didymocarpus,ASTDIDD,ASTDID,ASDID,Fabaceae,forb,native,n,,no info found in Jepson or SEINet.,legume (dehiscent),,,,PY,genus
y,Astragalus gambelianus,,Astragalus gambelianus,ASTGAM,ASTGAM,ASGA,Fabaceae,forb,native,n,Jepson eflora,"Fruit: reflexed, 2.8--4.2 mm, 2.4--3.6 mm wide, ovate or +- round in top view, +- wrinkled on edges, minutely hairy; chambers +- 2. ",legume (dehiscent),n,,,PY,genus
y,Lupinus bicolor,,Lupinus bicolor,LUPBIC,LUPBIC,LUBI,Fabaceae,forb,native,n,Jepson eflora,"Fruit: 1--3 cm, generally 3--6 mm wide, hairy. Seed: 5--8.",legume (dehiscent),y,,,PY,
y,Lupinus hirsutissimus,,Lupinus hirsutissimus,LUPHIR,LUPHIR,LUHI3,Fabaceae,forb,native,n,Jepson eflora,"Fruit: 2--4 cm, +- 8 mm wide, coarsely hairy. Seed: 3--6.",legume (dehiscent),y,,,PY,
y,Lupinus kingii,,Lupinus kingii,LUPKIN,LUPKIN,LUKI,Fabaceae,forb,native,n,Jepson eflora,"Lupinus: Fruit: dehiscent, generally oblong. Seed: 2--12, generally smooth.",legume (dehiscent),y,,,PY,genus
y,Lupinus microcarpus,,Lupinus microcarpus,LUPMIC,LUPMIC,LUSUS,Fabaceae,forb,native,n,Jepson eflora,"Fruit: erect to spreading, often on 1 side of inflorescence, 1--1.5 cm, +- 10 mm wide, ovate, hairy. Seed: 2, tan to brown, generally mottled, wrinkled or smooth.",legume (dehiscent),y,,,PY,genus
y,Lupinus microcarpus var. horizontalis,,Lupinus microcarpus,LUPMICH,LUPMIC,LUHOH,Fabaceae,forb,native,n,Jepson eflora,"Lupinus microcarpus: Fruit: erect to spreading, often on 1 side of inflorescence, 1--1.5 cm, +- 10 mm wide, ovate, hairy. Seed: 2, tan to brown, generally mottled, wrinkled or smooth.",legume (dehiscent),y,,,PY,genus
