"Species_Name","ID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Avena fatua","50.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","50.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","50.4",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"Centaurea melitensis","50.4",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"Clarkia purpurea","50.4",1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1
"Daucus pusillus","50.4",1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"Erodium cicutarium","50.4",1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0
"Lupinus bicolor","50.4",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"Thysanocarpus curvipes","50.4",1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1
"Avena fatua","50.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","50.5",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","50.5",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Centaurea melitensis","50.5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","50.5",1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"Clarkia purpurea","50.5",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
"Lupinus bicolor","50.5",1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1
"Avena fatua","51.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","51.1",1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
"Bromus hordeaceus","51.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","51.1",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"Collinsia sparsiflora","51.1",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
"Elymus caput-medusae","51.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"Erodium cicutarium","51.1",1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0
"Avena fatua","51.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","51.2",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"Bromus hordeaceus","51.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"Clarkia purpurea","51.2",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Daucus pusillus","51.2",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Galium aparine","51.2",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium dissectum","51.2",1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Athysanus pusillus","51.3",1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"Avena fatua","51.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","51.3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","51.3",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Clarkia purpurea","51.3",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1
"Erodium cicutarium","51.3",1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"Euphorbia crenulata","51.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium dissectum","51.3",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","51.3",1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1
"Medicago polymorpha","51.3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium hirtum","51.3",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Vicia villosa","51.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon wrangelianus","51.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","51.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","51.4",1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"Bromus hordeaceus","51.4",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Clarkia purpurea","51.4",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"Daucus pusillus","51.4",1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1
"Erodium cicutarium","51.4",1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0
"Galium aparine","51.4",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium dissectum","51.4",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Medicago polymorpha","51.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagiobothrys nothofulvus","51.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Athysanus pusillus","51.5",1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"Avena fatua","51.5",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","51.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Bromus madritensis","51.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarkia purpurea","51.5",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"Daucus pusillus","51.5",1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1
"Madia elegans","51.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago polymorpha","51.5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","51.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","52.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","52.1",1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
"Centaurea solstitialis","52.1",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0
"Clarkia purpurea","52.1",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Elymus caput-medusae","52.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Madia gracilis","52.1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Senecio vulgaris","52.1",1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Trifolium willdenovii","52.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","52.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","52.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","52.2",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0
"Cerastium glomeratum","52.2",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elymus caput-medusae","52.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Erodium cicutarium","52.2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Festuca myuros","52.2",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Galium aparine","52.2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madia gracilis","52.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon wrangelianus","52.3",1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Avena fatua","52.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","52.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","52.3",1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"Elymus caput-medusae","52.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Avena fatua","52.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","52.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Elymus caput-medusae","52.4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"Galium aparine","52.4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Leptosiphon bicolor","52.4",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","52.4",1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
"Plagiobothrys nothofulvus","52.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago erecta","52.4",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"Avena fatua","52.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","52.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Clarkia purpurea","52.5",1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1
"Daucus pusillus","52.5",1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
"Galium aparine","52.5",1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0
"Madia gracilis","52.5",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Agoseris heterophylla","53.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","53.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Bromus hordeaceus","53.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"Daucus pusillus","53.1",1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"Galium aparine","53.1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastridium phleoides","53.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio vulgaris","53.1",1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Vicia villosa","53.1",1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Avena fatua","53.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","53.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"Daucus pusillus","53.2",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"Erodium cicutarium","53.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Galium aparine","53.2",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Navarretia pubescens","53.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia villosa","53.2",1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"Avena fatua","53.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Bromus hordeaceus","53.3",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"Lupinus bicolor","53.3",1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
"Vicia villosa","53.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","53.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","53.4",1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"Daucus pusillus","53.4",1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Galium aparine","53.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","53.4",1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1
"Plantago erecta","53.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio vulgaris","53.4",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium hirtum","53.4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1
"Vicia villosa","53.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon wrangelianus","53.5",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Avena fatua","53.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","53.5",1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
"Galium aparine","53.5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","53.5",1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0
"Trifolium hirtum","53.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Avena fatua","54.1",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","54.1",1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0
"Bromus hordeaceus","54.1",1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
"Clarkia purpurea","54.1",1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis","54.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus pusillus","54.1",1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"Erodium cicutarium","54.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Festuca myuros","54.1",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium murale","54.1",1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0
"Geranium dissectum","54.1",1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"Plectritis ciliosa","54.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Vicia villosa","54.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","54.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus diandrus","54.2",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0
"Bromus hordeaceus","54.2",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"Clarkia purpurea","54.2",1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
"Collinsia heterophylla","54.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erodium cicutarium","54.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Festuca myuros","54.2",1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"Geranium dissectum","54.2",1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
"Madia gracilis","54.2",1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0
"Plectritis ciliosa","54.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Avena fatua","54.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","54.3",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1
"Clarkia purpurea","54.3",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsia heterophylla","54.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erodium cicutarium","54.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Festuca myuros","54.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastridium phleoides","54.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium dissectum","54.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
"Lupinus bicolor","54.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago polymorpha","54.3",1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
"Navarretia pubescens","54.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromus hordeaceus","54.4",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Centaurea melitensis","54.4",1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1
"Clarkia purpurea","54.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Festuca perennis","54.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium murale","54.4",1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"Geranium dissectum","54.4",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","54.4",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Agoseris heterophylla","54.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athysanus pusillus","54.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","54.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","54.5",1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Centaurea melitensis","54.5",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","54.5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus pusillus","54.5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Galium murale","54.5",1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"Geranium dissectum","54.5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","54.5",1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1
"Plantago erecta","54.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon brachycarpus","55.1",1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0
"Agoseris heterophylla","55.1",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
"Calycadenia pauciflora","55.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Collinsia sparsiflora","55.1",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
"Croton setiger","55.1",1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"Epilobium brachycarpum","55.1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Hemizonia congesta","55.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lasthenia californica","55.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lepidium nitidum","55.1",1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"Leptosiphon jepsonii","55.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Navarretia jepsonii","55.1",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"Plantago erecta","55.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sidalcea diploscypha","55.1",1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"Trifolium albopurpureum","55.1",1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1
"Acmispon brachycarpus","55.2",1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1
"Agoseris heterophylla","55.2",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"Astragalus gambelianus","55.2",1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
"Bromus madritensis","55.2",1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
"Clarkia purpurea","55.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsia sparsiflora","55.2",1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1
"Croton setiger","55.2",1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0
"Epilobium brachycarpum","55.2",1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"Festuca microstachys","55.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lasthenia californica","55.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Leptosiphon jepsonii","55.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"Navarretia jepsonii","55.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Plantago erecta","55.2",1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
"Zeltnera trichantha","55.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon brachycarpus","55.3",1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1
"Agoseris heterophylla","55.3",1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1
"Ancistrocarphus filagineus","55.3",1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"Astragalus gambelianus","55.3",1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1
"Bromus madritensis","55.3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Calycadenia pauciflora","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Croton setiger","55.3",1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"Epilobium brachycarpum","55.3",1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"Festuca microstachys","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","55.3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Lasthenia californica","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Leptosiphon jepsonii","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Microseris douglasii","55.3",1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"Minuartia douglasii","55.3",1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0
"Navarretia jepsonii","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Plantago erecta","55.3",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sidalcea diploscypha","55.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Agoseris heterophylla","55.4",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
"Ancistrocarphus filagineus","55.4",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"Astragalus gambelianus","55.4",1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
"Calycadenia pauciflora","55.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","55.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton setiger","55.4",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Epilobium brachycarpum","55.4",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"Festuca microstachys","55.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","55.4",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","55.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Leptosiphon jepsonii","55.4",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"Navarretia jepsonii","55.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Plantago erecta","55.4",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sidalcea diploscypha","55.4",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
"Acmispon brachycarpus","55.5",1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0
"Agoseris heterophylla","55.5",1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Ancistrocarphus filagineus","55.5",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bromus madritensis","55.5",1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1
"Calycadenia pauciflora","55.5",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","55.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium brachycarpum","55.5",1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
"Festuca microstachys","55.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hemizonia congesta","55.5",1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lagophylla minor","55.5",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasthenia californica","55.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Lepidium nitidum","55.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
